Date,Open,High,Low,Close,Volume,,
22/05/2006,18.277,18.277,17.816,18.022,1131283,,
23/05/2006,18.18,18.277,17.826,17.826,608074,,
24/05/2006,17.826,18.18,17.629,17.992,860660,,
25/05/2006,18.15,18.277,17.629,17.768,550888,,
26/05/2006,17.846,17.885,17.639,17.678,223231,,
30/05/2006,17.688,17.758,17.511,17.549,579481,,
31/05/2006,17.609,17.768,17.335,17.659,790477,,
01/06/2006,17.797,18.277,17.797,18.277,460528,,
02/06/2006,18.404,18.728,18.374,18.453,533461,,
05/06/2006,18.345,18.414,17.816,17.905,634676,,
06/06/2006,17.963,17.963,17.549,17.826,652258,,
07/06/2006,17.836,18.1,17.385,17.444,585749,,
08/06/2006,17.316,17.316,16.239,17.041,642779,,
09/06/2006,17.12,17.345,17.06,17.169,444777,,
12/06/2006,17.169,17.169,16.472,16.648,485142,,
13/06/2006,16.618,17.239,16.579,16.972,732684,,
14/06/2006,16.902,17.1,16.569,16.785,547678,,
15/06/2006,16.922,17.335,16.922,17.277,352583,,
16/06/2006,17.277,17.316,16.942,16.942,1082513,,
19/06/2006,17.002,17.08,16.549,16.942,645840,,
20/06/2006,16.873,16.892,16.472,16.678,678709,,
21/06/2006,16.648,16.962,16.569,16.678,480250,,
22/06/2006,16.608,16.688,16.372,16.618,581926,,
23/06/2006,16.53,16.805,16.354,16.708,532541,,
26/06/2006,16.795,17.1,16.579,17.09,493399,,
27/06/2006,17.11,17.179,16.766,17.021,517862,,
28/06/2006,17.139,17.139,16.882,17.06,347075,,
29/06/2006,17.199,17.529,17.051,17.434,468324,,
30/06/2006,17.529,17.649,17.365,17.579,554713,,
03/07/2006,17.529,17.629,17.434,17.569,192652,,
05/07/2006,17.511,17.511,16.747,16.942,719532,,
06/07/2006,17.002,17.259,16.844,17.011,362212,,
07/07/2006,16.942,17.041,16.785,16.824,261914,,
10/07/2006,16.844,17.129,16.844,17.041,334079,,
11/07/2006,17.002,17.002,16.452,16.708,471993,,
12/07/2006,16.708,16.824,16.325,16.354,351969,,
13/07/2006,16.354,16.452,16.061,16.219,536210,,
14/07/2006,16.14,16.462,15.903,16.354,575659,,
17/07/2006,16.287,16.452,16.101,16.315,225218,,
18/07/2006,16.412,16.579,16.12,16.53,758677,,
19/07/2006,16.53,17.06,16.53,17.041,235155,,
20/07/2006,17.09,17.139,16.5,16.53,255337,,
21/07/2006,16.53,16.53,15.913,15.923,392792,,
24/07/2006,16.022,16.952,16.022,16.922,340349,,
25/07/2006,17.002,18.032,17.002,17.668,587126,,
26/07/2006,17.529,17.529,16.922,17.385,518319,,
27/07/2006,17.169,17.179,15.636,15.715,2871714,,
28/07/2006,15.883,16.239,15.626,16.12,1014626,,
31/07/2006,16.012,16.219,15.745,15.784,571377,,
01/08/2006,15.666,15.666,15.08,15.46,569848,,
02/08/2006,15.47,15.597,15.276,15.404,489425,,
03/08/2006,15.276,15.933,15.276,15.813,468936,,
04/08/2006,15.942,16.19,15.374,15.666,670455,,
07/08/2006,15.626,15.695,15.46,15.617,434230,,
08/08/2006,15.962,16.239,15.745,15.823,1473927,,
09/08/2006,15.883,16.002,15.549,15.617,743845,,
10/08/2006,15.509,15.626,15.315,15.45,1022726,,
11/08/2006,15.45,15.45,15.118,15.187,397381,,
14/08/2006,15.276,15.422,15.021,15.041,431630,,
15/08/2006,15.207,15.217,15.021,15.138,674582,,
16/08/2006,15.177,15.509,15.08,15.48,550432,,
17/08/2006,15.499,15.745,15.394,15.529,207174,,
18/08/2006,15.587,15.587,15.118,15.325,216959,,
21/08/2006,15.227,15.227,14.912,15.08,252127,,
22/08/2006,15.041,15.177,14.952,15.108,229191,,
23/08/2006,15.147,15.207,14.754,14.803,221700,,
24/08/2006,14.843,14.922,14.568,14.697,705771,,
25/08/2006,14.617,14.813,14.498,14.508,496915,,
28/08/2006,14.498,14.972,14.498,14.813,373221,,
29/08/2006,14.902,15.041,14.783,15.002,327354,,
30/08/2006,15.041,15.247,14.932,15.051,255797,,
31/08/2006,15.157,15.529,15.138,15.315,437285,,
01/09/2006,15.431,15.607,15.276,15.431,190664,,
05/09/2006,15.529,15.863,15.529,15.784,273684,,
06/09/2006,15.695,15.784,15.568,15.676,392792,,
07/09/2006,15.539,15.833,15.394,15.568,271086,,
08/09/2006,15.597,15.695,15.47,15.549,212070,,
11/09/2006,15.46,15.913,15.404,15.873,355332,,
12/09/2006,15.873,16.962,15.873,16.785,659598,,
13/09/2006,16.785,16.863,16.589,16.805,264510,,
14/09/2006,16.766,16.785,16.559,16.747,229500,,
15/09/2006,16.873,16.942,16.539,16.785,570460,,
18/09/2006,16.668,16.785,16.5,16.648,326129,,
19/09/2006,16.598,16.598,15.237,15.499,2029710,,
20/09/2006,15.499,16.042,15.489,15.833,390806,,
21/09/2006,15.833,15.843,15.47,15.626,316041,,
22/09/2006,15.519,15.607,15.335,15.499,467406,,
25/09/2006,15.412,15.863,15.295,15.794,296010,,
26/09/2006,15.843,15.883,15.45,15.666,411751,,
27/09/2006,15.607,15.745,15.412,15.529,272157,,
28/09/2006,15.626,15.784,15.295,15.431,344782,,
29/09/2006,15.374,15.48,15.011,15.031,488047,,
02/10/2006,15.031,15.031,14.538,14.647,706845,,
03/10/2006,14.647,15.061,14.354,15.002,856072,,
04/10/2006,15.002,15.626,14.942,15.607,487744,,
05/10/2006,15.558,15.705,15.335,15.558,274910,,
06/10/2006,15.45,15.45,15.147,15.237,306711,,
09/10/2006,15.167,15.207,14.843,15.167,828549,,
10/10/2006,15.207,15.207,14.962,15.099,904080,,
11/10/2006,15.099,15.099,14.256,14.667,1531572,,
12/10/2006,14.754,15.217,14.754,15.108,703022,,
13/10/2006,15.099,15.315,15.041,15.276,317569,,
16/10/2006,15.247,15.636,15.247,15.509,316194,,
17/10/2006,15.354,15.549,15.354,15.509,344934,,
18/10/2006,15.519,15.764,15.431,15.597,435146,,
19/10/2006,15.607,15.863,15.568,15.745,487896,,
20/10/2006,15.764,15.823,15.394,15.404,321696,,
23/10/2006,15.315,15.646,15.187,15.509,472607,,
24/10/2006,15.404,15.626,15.335,15.626,428416,,
25/10/2006,15.626,15.883,15.276,15.568,377962,,
